"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=%20Anura"
"Access Time","Fri 2017-02-03 06:26:14 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name"," Anura"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0678"
"Records Found","1413"
"Records Returned","1413"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"137378","occ","","","11576","n. gen. Cretasalia n. sp. tsybini","species","134552","","Cretasalia tsybini","species","134552","Campanian","Maastrichtian","83.6","66","4173"
"137379","occ","","","11576","Gobiates leptocolaptus","species","58445","","Gobiates leptocolaptus","species","57290","Campanian","Maastrichtian","83.6","66","4173"
"137433","occ","","","11582","n. gen. Gobiates n. sp. khermeentsavi","species","156388","","Gobiates khermeentsavi","species","156388","Campanian","Maastrichtian","83.6","66","30994"
"138862","occ","","","11806","Anura indet.","order","37422","","Anura","order","97112","Berriasian","Valanginian","145","132.9","4203"
"138866","occ","","","22634","Pipidae indet.","family","37435","","Pipidae","family","37435","Berriasian","Aptian","145","113","4203"
"145954","occ","","","12816","n. gen. Enneabatrachus n. sp. hechti","species","53192","","Enneabatrachus hechti","species","53192","Kimmeridgian","Tithonian","157.3","145","4280"
"145955","occ","","","12816","Pelobatidae indet.","family","37449","","Pelobatidae","family","37449","Kimmeridgian","Tithonian","157.3","145","4280"
"145956","occ","","","12816","n. gen. Eobatrachus n. sp. agilis","species","69239","nomen dubium","Anura","order","97112","Kimmeridgian","Tithonian","157.3","145","15497"
"146078","occ","","","12855","Anura indet.","order","37422","","Anura","order","97112","Maastrichtian","","72.1","66","19317"
"148357","occ","","","13097","Eopelobates n. sp. grandis","species","99653","","Eopelobates grandis","species","99653","Chadronian","","37.2","33.9","4366"
"148359","occ","","","18888","Scaphiopus n. sp. alexanderi","species","99656","recombined as","Scaphiopus (Spea) alexanderi","species","99656","Clarendonian","","13.6","10.3","4366"
"149316","occ","","","13142","n. gen. Scotiophryne n. sp. pustulosa","species","63611","","Scotiophryne pustulosa","species","63611","Maastrichtian","","72.1","66","4381"
"149317","occ","","","13142","cf. Barbourula sp.","genus","63624","","Barbourula","genus","63624","Maastrichtian","","72.1","66","4381"
"149318","occ","","","13142","Anura indet.","order","37422","","Anura","order","97112","Maastrichtian","","72.1","66","4381"
