"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=Serpentes"
"Access Time","Fri 2017-02-03 06:22:43 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Serpentes"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.128"
"Records Found","2575"
"Records Returned","2575"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"40162","occ","","","3113","Cheilophis huerfanoensis","species","68090","","Cheilophis huerfanoensis","species","68090","Thanetian","","59.2","56","140"
"40164","occ","","","3113","Palaeophis littoralis","species","65240","","Palaeophis littoralis","species","65240","Thanetian","","59.2","56","140"
"138847","occ","","","11804","n. gen. Pachyrhachis n. sp. problematicus","species","65330","","Pachyrhachis problematicus","species","65330","Early Cenomanian","Middle Cenomanian","99.6","93.5","13146"
"146080","occ","26366","","12855","Madtsoiidae ? informal new genus","species","53179","species not entered","Madtsoiidae","family","64923","Maastrichtian","","72.1","66","39674"
"148355","occ","","","13095","n. gen. Dryinoides n. sp. oxyrhachis","species","99703","","Dryinoides oxyrhachis","species","99703","Barstovian","","15.97","13.6","4364"
"149341","occ","","","13142","Coniophis precedens","species","54231","","Coniophis precedens","species","54231","Maastrichtian","","72.1","66","4381"
"149342","occ","","","13142","Erycinae ? indet.","family","67485","invalid subgroup of","Boidae","family","38086","Maastrichtian","","72.1","66","4381"
"149345","occ","10247","","13186","Palaeophis virginianus","species","65238","","Palaeophis virginianus","species","65238","Thanetian","","59.2","56","4382"
"149346","occ","","","13187","Palaeophis grandis","species","65239","","Palaeophis grandis","species","231939","Ypresian","","56","47.8","4382"
"149347","occ","","","13187","Palaeophis sp.","genus","36405","","Palaeophis","genus","36405","Ypresian","","56","47.8","4382"
"150321","occ","","","13346","n. gen. Tallahattaophis n. sp. dunni","species","68089","","Tallahattaophis dunni","species","68089","Bridgerian","","50.3","46.2","688"
