Species	Status	min_age	max_age
Cretasalia_tsybini	extinct	66	83.6
Gobiates_leptocolaptus	extinct	66	83.6
Gobiates_khermeentsavi	extinct	66	83.6
Anura	extinct	132.9	145
Pipidae	extinct	113	145
Enneabatrachus_hechti	extinct	145	157.3
Pelobatidae	extinct	145	157.3
Anura	extinct	145	157.3
Anura	extinct	66	72.1
Eopelobates_grandis	extinct	33.9	37.2
Scaphiopus_(Spea)_alexanderi	extinct	10.3	13.6
Scotiophryne_pustulosa	extinct	66	72.1
Barbourula	extinct	66	72.1
Anura	extinct	66	72.1
Anura	extinct	50.3	55.8
Rana	extinct	0.3	1.8
Anura	extinct	50.3	55.8
Bufo	extinct	0	2.588
Ranidae	extinct	0	0.0117
Anura	extinct	3.6	5.333
Discoglossus	extinct	0.0117	2.588
Bufo	extinct	0.0117	2.588
Bufo	extinct	0.0117	2.588
Pelophylax_ridibunda	extinct	0.0117	2.588
Xenopus	extinct	1.806	2.588
Pipidae	extinct	1.806	2.588
Ranidae	extinct	1.806	2.588
Ranidae	extinct	1.806	2.588
Xenopus	extinct	0.781	2.588
Anura	extinct	93.5	105.3
Thoraciliacus_rostriceps	extinct	113	145
Cordicephalus_gracilis	extinct	113	145
Cordicephalus_gracilis	extinct	113	145
Bufo_pliocompactilis	extinct	4.9	10.3
Bufo_woodhousei	extant	4.9	10.3
Bufo	extinct	4.9	10.3
Scaphiopus	extinct	4.9	10.3
Rana	extinct	4.9	10.3
Hyla	extinct	4.9	10.3
Pelobatidae	extinct	70.6	83.5
Discoglossidae	extinct	70.6	83.5
Bufo	extinct	0.0117	0.126
Pseudacris_ornata	extinct	0.0117	0.126
Rana	extinct	0.0117	0.126
Anura	extinct	70.6	83.5
Anura	extinct	15.97	20.43
Anura	extinct	4.9	10.3
Discoglossidae	extinct	66	72.1
Hylidae	extinct	66	72.1
Pelobatidae	extinct	66	72.1
Anura	extinct	46.2	50.3
Scaphiopus_(Scaphiopus)_wardorum	extinct	13.6	15.97
Spea_bombifrons	extinct	13.6	15.97
Bufo_hibbardi	extinct	13.6	15.97
Bufo_valentinensis	extinct	13.6	15.97
Bufo_kuhrei	extinct	13.6	15.97
Acris_crepitans	extinct	13.6	15.97
Pseudacris_clarki	extinct	13.6	15.97
Pseudacris_nordensis	extinct	13.6	15.97
Hyla_gratiosa	extinct	13.6	15.97
Hyla_squirella	extinct	13.6	15.97
Hyla_versicolor	extinct	13.6	15.97
Rana_pipiens	extinct	13.6	15.97
Scaphiopus	extinct	13.6	15.97
Bufo_valentinensis	extinct	13.6	15.97
Hyla	extinct	13.6	15.97
Rana	extinct	13.6	15.97
Bufo_hibbardi	extinct	13.6	15.97
Rana	extinct	13.6	15.97
Rana_catesbeiana	extinct	1.8	10.3
Rana	extinct	1.8	10.3
Bufo	extinct	1.8	10.3
Rana	extinct	13.6	15.97
Rana_pipiens	extinct	13.6	15.97
Bufo_terrestris	extinct	0.3	1.8
Rana	extinct	0.3	1.8
Pseudacris	extinct	13.6	15.97
Rana	extinct	13.6	15.97
Hyla	extinct	13.6	15.97
Pseudacris_clarki	extinct	13.6	15.97
Pelobatidae	extinct	33.9	38
Scaphiopus	extinct	15.97	20.43
Bufo	extinct	15.97	20.43
Rana	extinct	15.97	20.43
Hylidae	extinct	15.97	20.43
Hyla	extinct	13.6	15.97
Bufo_pliocompactilis	extinct	4.9	10.3
Bufo_hibbardi	extinct	4.9	10.3
Bufo	extinct	4.9	10.3
Bufo	extinct	4.9	10.3
Rana	extinct	4.9	10.3
Hyla	extinct	4.9	10.3
Bufo_holmani	extinct	4.9	10.3
Bufo	extinct	4.9	10.3
Scaphiopus_(Scaphiopus)_wardorum	extinct	4.9	10.3
Scaphiopus	extinct	4.9	10.3
Rana	extinct	4.9	10.3
Rana_catesbeiana	extinct	4.9	10.3
Hyla	extinct	4.9	10.3
Bufo_holmani	extinct	4.9	10.3
Bufo	extinct	4.9	10.3
Rana	extinct	4.9	10.3
Scaphiopus	extinct	4.9	10.3
Rana	extinct	4.9	10.3
Rana_catesbeiana	extinct	4.9	10.3
Hyla	extinct	4.9	10.3
Anura	extinct	70.6	83.5
Scaphiopus	extinct	10.3	13.6
Acris	extinct	10.3	13.6
Pseudacris_clarki	extinct	10.3	13.6
Hyla_gratiosa	extinct	10.3	13.6
Hyla	extinct	10.3	13.6
Bufo_valentinensis	extinct	10.3	13.6
Bufo	extinct	10.3	13.6
Bufo	extinct	10.3	13.6
Bufo_pliocompactilis	extinct	10.3	13.6
Rana	extinct	10.3	13.6
Rana	extinct	10.3	13.6
Bufo_hibbardi	extinct	10.3	13.6
Hyla_cinerea	extinct	10.3	13.6
Hyla_squirella	extinct	10.3	13.6
Rana_pipiens	extinct	10.3	13.6
Bufo	extinct	1.8	4.9
Bufo	extinct	1.8	4.9
Bufo	extinct	1.8	4.9
Bufo	extinct	1.8	4.9
Rana	extinct	1.8	4.9
Bufo	extinct	1.8	4.9
Bufo	extinct	1.8	4.9
Rana	extinct	1.8	4.9
Rana_catesbeiana	extinct	1.8	4.9
Rana	extinct	1.8	4.9
Hyla_miocenica	extinct	13.6	15.97
Rana_pipiens	extinct	13.6	15.97
Rana	extinct	5.333	23.03
Rana_pipiens	extinct	5.333	23.03
Spea_bombifrons	extinct	13.6	15.97
Scaphiopus_(Scaphiopus)_wardorum	extinct	13.6	15.97
Bufo_valentinensis	extinct	13.6	15.97
Bufo_hibbardi	extinct	13.6	15.97
Acris	extinct	13.6	15.97
Pseudacris	extinct	13.6	15.97
Hyla	extinct	13.6	15.97
Hyla	extinct	13.6	15.97
Rana	extinct	13.6	15.97
Discoglossidae	extinct	113	125
Gobiates	extinct	113	125
Gobiates	extinct	100.5	113
Discoglossidae	extinct	100.5	113
Anura	extinct	100.5	113
Anura	extinct	100.5	113
Anura	extinct	40.4	46.2
Rana	extinct	1.8	4.9
Rana	extinct	1.8	4.9
