Species	Status
Acris	extinct
Acris_crepitans	extinct
Acris_gryllus	extinct
Albionbatrachus_wightensis	extinct
Alytes	extinct
Alytidae	extinct
Anura	extinct
Aralobatrachus	extinct
Aralobatrachus_robustus	extinct
Arariphrynus_placidoi	extinct
Australobatrachus_ilius	extinct
Avitabatrachus_uliana	extinct
Aygroua_anoualensis	extinct
Bakonybatrachus_fedori	extinct
Barbourula	extinct
Baurubatrachus_pricei	extinct
Beelzebufo_ampinga	extinct
Bombina	extinct
Bufo	extinct
Bufo_americanus	extinct
Bufo_defensor	extinct
Bufo_hibbardi	extinct
Bufo_holmani	extinct
Bufo_kuhrei	extinct
Bufo_linquensis	extinct
Bufo_pliocompactilis	extinct
Bufo_praevius	extinct
Bufo_serratus	extinct
Bufo_terrestris	extinct
Bufo_tiheni	extinct
Bufo_valentinensis	extinct
Bufo_viridis	extant
Bufo_woodhousei	extant
Bufonidae	extinct
Calyptocephalella	extinct
Calyptocephalella_canqueli	extinct
Ceratophrys	extinct
Chelomophrynus_bayi	extinct
Cordicephalus_gracilis	extinct
Cratia_gracilis	extinct
Cretasalia_tsybini	extinct
Discoglossidae	extinct
Discoglossinae	extinct
Discoglossus	extinct
Eleutherodactylus	extinct
Elkobatrachus_brocki	extinct
Enigmatosaurus	extinct
Enneabatrachus	extinct
Enneabatrachus_hechti	extinct
Eodiscoglossus	extinct
Eodiscoglossus_oxoniensis	extinct
Eodiscoglossus_santonjae	extinct
Eopelobates	extinct
Eopelobates_anthracinus	extinct
Eopelobates_bayeri	extinct
Eopelobates_grandis	extinct
Eophractus_casamayorensis	extinct
Eorhinophrynus	extinct
Eorhinophrynus_septentrionalis	extinct
Eorubeta_nevadensis	extinct
Eoxenopoides_reuningi	extinct
Estesiella_boliviensis	extinct
Estesina_elegans	extinct
Eupsophus	extinct
Eurycephalella_alcinae	extinct
Gastrophryne_carolinensis	extinct
Geocrinia_laevis	extinct
Gobiates	extinct
Gobiates_asiaticus	extinct
Gobiates_bogatchovi	extinct
Gobiates_dzhyrakudukensis	extinct
Gobiates_fritschi	extinct
Gobiates_furcatus	extinct
Gobiates_khermeentsavi	extinct
Gobiates_kizylkumensis	extinct
Gobiates_leptocolaptus	extinct
Gobiates_sosedkoi	extinct
Gobiates_spinari	extinct
Gobiates_tatarinovi	extinct
Gobiatoides	extinct
Gobiatoides_parvus	extinct
Gracilibatrachus_avallei	extinct
Hatzegobatrachus_grigorescui	extinct
Hensonbatrachus_kermiti	extinct
Hungarobatrachus_szukacsi	extinct
Hyla	extinct
Hyla_baderi	extinct
Hyla_barbudensis	extant
Hyla_cinerea	extinct
Hyla_europaea	extinct
Hyla_goini	extinct
Hyla_gratiosa	extinct
Hyla_miocenica	extinct
Hyla_squirella	extinct
Hyla_versicolor	extinct
Hylidae	extinct
Iberobatrachus_angelae	extinct
Indobatrachus_pusillus	extinct
Kizylkuma	extinct
Kizylkuma_antiqua	extinct
Laliostoma	extinct
Latonia_gigantea	extinct
Latonia_ragei	extinct
Latonia_seyfriedi	extinct
Lechriodus_casca	extinct
Lechriodus_intergerivus	extinct
Leiopelma	extinct
Leiopelma_acricarina	extinct
Leiopelma_miocaenale	extinct
Lepidobatrachus	extinct
Leptodactylidae	extinct
Leptodactylus	extinct
Liaobatrachus_beipiaoensis	extinct
Liaobatrachus_grabaui	extinct
Liaobatrachus_macilentus	extinct
Liaobatrachus_zhaoi	extinct
Limnodynastes	extinct
Limnodynastes_archeri	extinct
Limnodynastes_dumerili	extinct
Limnodynastes_tasmaniensis	extinct
Litoria	extinct
Litoria_caerulea	extinct
Litoria_ewingi	extinct
Llankibatrachus_truebae	extinct
Macropelobates_osborni	extinct
Megophryidae	extinct
Miopelodytes_gilmorei	extinct
Montsechobatrachus_gaudryi	extinct
Neobatrachia	extinct
Neoprocoela_edentatus	extinct
Neusibatrachus_wilferti	extinct
Odontophrynus_americanus	extinct
Oumtkoutia_anae	extinct
Pachycentrata_taqueti	extinct
Palaeobatrachidae	extinct
Palaeobatrachus	extinct
Palaeobatrachus_occidentalis	extinct
Palaeobatrachus_robustus	extinct
Paradiscoglossus	extinct
Paradiscoglossus_americanus	extinct
Paralatonia_transylvanica	extinct
Pelobates	extinct
Pelobates_fahlbuschi	extinct
Pelobatidae	extinct
Pelodytes	extinct
Pelodytidae	extinct
Pelophylax	extinct
Pelophylax_ridibunda	extinct
Pipidae	extinct
Pipimorpha	extinct
Pliobatrachus	extinct
Proacris_mintoni	extinct
Procerobatrachus_paulus	extinct
Prodiscoglossus_vertaizoni	extinct
Prospea_holoserisca	extinct
Pseudacris	extinct
Pseudacris_clarki	extinct
Pseudacris_nordensis	extinct
Pseudacris_ornata	extinct
Pseudacris_triseriata	extinct
Ptychadena	extinct
Ptychadenidae	extinct
Rana	extinct
Rana_catesbeiana	extinct
Rana_dalmatina	extant
Rana_pipiens	extinct
Rana_plicata	extinct
Rana_temporaria	extinct
Ranidae	extinct
Ranidella_signifera	extinct
Ranoidea	extinct
Rhacophorus	extinct
Rhadinosteus_parvus	extinct
Rhinophrynus_canadensis	extinct
Rhinophrynus_dorsalis	extinct
Saevesoederberghia_egredia	extinct
Saltenia_ibanezi	extinct
Scaphiophryne	extinct
Scaphiopus	extinct
Scaphiopus_(Scaphiopus)_couchi	extinct
Scaphiopus_(Scaphiopus)_holbrooki	extinct
Scaphiopus_(Scaphiopus)_wardorum	extinct
Scaphiopus_(Spea)_alexanderi	extinct
Scotiophryne	extinct
Scotiophryne_pustulosa	extinct
Shelania_laurenti	extinct
Shelania_pascuali	extinct
Shomronella_jordanica	extinct
Singidella_latecostata	extinct
Spea	extinct
Spea_bombifrons	extinct
Spea_diversus	extinct
Spea_hammondii	extant
Spea_neuter	extinct
Sunnybatrachus	extinct
Sunnybatrachus_purbeckensis	extinct
Syrrhophus	extinct
Syrrhophus_marnocki	extinct
Tephrodytes_brassicarvalis	extinct
Thaumastosaurus	extinct
Thaumastosaurus_bottii	extinct
Thaumastosaurus_wardi	extinct
Theatonius_lancensis	extinct
Thoraciliacus_rostriceps	extinct
Tyrrellbatrachus_brinkmani	extinct
Uberabatrachus_carvalhoi	extinct
Vulcanobatrachus_mandelai	extinct
Wawelia_gerholdi	extinct
Wealdenbatrachus	extinct
Xenopus	extinct
Xenopus_arabiensis	extinct
Xenopus_romeri	extinct
Zaphrissa_eurypelis	extinct
